seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m,val_score,ae_recon_train_rmse
7,0.3,ml_only,47,0.46212488414940966,0.3658307939705441,0.6572502728397037,,,none,38,,
7,0.3,mlp_concat_ub,47,0.31203202780620454,0.23116686603518147,0.44378293064185764,,,direct_ub,38,,
7,0.3,pca_regression_ub,47,0.30248690603177236,0.21904120548169886,0.4302075225525901,,48.0,pca_mlp,38,,
7,0.3,ml_only,48,0.480497108716306,0.3859652164824308,0.6687520698799011,,,none,38,,
7,0.3,mlp_concat_ub,48,0.3081472089256178,0.2437554832367711,0.42887684453974745,,,direct_ub,38,,
7,0.3,pca_regression_ub,48,0.2630519875300284,0.1925504931011408,0.3661136726019151,,48.0,pca_mlp,38,,
7,0.3,ml_only,49,0.49705961096268675,0.4085989451079918,0.7086171013756728,,,none,38,,
7,0.3,mlp_concat_ub,49,0.27725911617028914,0.20564205432125882,0.39526557156807474,,,direct_ub,38,,
7,0.3,pca_regression_ub,49,0.28752982824609674,0.22787181715381355,0.4099076830164926,,48.0,pca_mlp,38,,
7,0.3,ml_only,50,0.5636613125184128,0.4596953075106205,0.795214378355515,,,none,38,,
7,0.3,mlp_concat_ub,50,0.3159671073587848,0.2493251259613367,0.4457669548695495,,,direct_ub,38,,
7,0.3,pca_regression_ub,50,0.33320762327448156,0.25962767918970164,0.4700899052689195,,48.0,pca_mlp,38,,
7,0.3,ml_only,51,0.4705875309201994,0.38749870054774577,0.6652715904617216,,,none,38,,
7,0.3,mlp_concat_ub,51,0.2987721868827503,0.23778352335906622,0.42237550910995103,,,direct_ub,38,,
7,0.3,pca_regression_ub,51,0.280736313583046,0.21353145349607783,0.3968781184502417,,48.0,pca_mlp,38,,
7,0.3,ml_only,52,0.43981225216853653,0.3335601618324825,0.6810127470253434,,,none,38,,
7,0.3,mlp_concat_ub,52,0.27872813368194904,0.21770360242835263,0.43158736723699326,,,direct_ub,38,,
7,0.3,pca_regression_ub,52,0.3145225964805457,0.24358072221671595,0.4870121202277938,,48.0,pca_mlp,38,,
7,0.3,ml_only,53,0.5143458973013442,0.4212056122241872,0.6442569932166018,,,none,38,,
7,0.3,mlp_concat_ub,53,0.3419206393634043,0.27702908453142994,0.4282813651100338,,,direct_ub,38,,
7,0.3,pca_regression_ub,53,0.3688271685279046,0.2926168537629493,0.4619838203417507,,48.0,pca_mlp,38,,
7,0.3,ml_only,54,0.3614991834507768,0.2817570271989858,0.5553861246709182,,,none,38,,
7,0.3,mlp_concat_ub,54,0.22891546626480036,0.1765240396610195,0.35169228453694473,,,direct_ub,38,,
7,0.3,pca_regression_ub,54,0.22877379557464564,0.17811567464971723,0.35147463000496654,,48.0,pca_mlp,38,,
7,0.3,ml_only,55,0.4417654108308524,0.35935762978456864,0.6498163635921895,,,none,38,,
7,0.3,mlp_concat_ub,55,0.26853164051510864,0.19810548872358053,0.39499754818012645,,,direct_ub,38,,
7,0.3,pca_regression_ub,55,0.25441201300667143,0.19787114367359007,0.374228233114122,,48.0,pca_mlp,38,,
7,0.3,ml_only,56,0.592385704160374,0.48826693754496625,0.8403737907747061,,,none,38,,
7,0.3,mlp_concat_ub,56,0.23287184781673806,0.19257980464731644,0.33035806931202005,,,direct_ub,38,,
7,0.3,pca_regression_ub,56,0.2258225372498715,0.1857516104387275,0.3203577337167808,,48.0,pca_mlp,38,,
7,0.3,ml_only,57,0.5230577454194086,0.4376780574871334,0.5944295721226674,,,none,38,,
7,0.3,mlp_concat_ub,57,0.34888348248138973,0.2629818109361953,0.3964890320968055,,,direct_ub,38,,
7,0.3,pca_regression_ub,57,0.2862040631695635,0.21074547573004282,0.3252569344389249,,48.0,pca_mlp,38,,
7,0.3,ml_only,58,0.5744027454982422,0.4632067147644388,0.7382239187618617,,,none,38,,
7,0.3,mlp_concat_ub,58,0.2819848785655324,0.20599454196169864,0.3624077073407234,,,direct_ub,38,,
7,0.3,pca_regression_ub,58,0.2830559552696807,0.2120750679235897,0.36378425793702157,,48.0,pca_mlp,38,,
7,0.3,ml_only,59,0.41633584810226487,0.31576471815080676,0.6480563287802431,,,none,38,,
7,0.3,mlp_concat_ub,59,0.3147700677550066,0.23671485986900453,0.4899619752875859,,,direct_ub,38,,
7,0.3,pca_regression_ub,59,0.3739626833363946,0.30370294509350537,0.5820994871531316,,48.0,pca_mlp,38,,
7,0.3,ml_only,60,0.49182500837164644,0.3733362853780042,0.6554607904316481,,,none,38,,
7,0.3,mlp_concat_ub,60,0.3198648507884053,0.23752088160738105,0.4262875298334587,,,direct_ub,38,,
7,0.3,pca_regression_ub,60,0.3213155310380694,0.2250284479190691,0.4282208679251034,,48.0,pca_mlp,38,,
7,0.3,ml_only,61,0.4326971129705406,0.32282539588853965,0.6168134523316079,,,none,38,,
7,0.3,mlp_concat_ub,61,0.32979136332325587,0.2660317194627444,0.47012042202928794,,,direct_ub,38,,
7,0.3,pca_regression_ub,61,0.2847193243485916,0.21469699066138867,0.40586984320585073,,48.0,pca_mlp,38,,
7,0.3,ml_only,62,0.42421454701395267,0.3345867306402277,0.5951848829252528,,,none,38,,
7,0.3,mlp_concat_ub,62,0.28271441617591736,0.20599041680871819,0.3966562388710593,,,direct_ub,38,,
7,0.3,pca_regression_ub,62,0.2612741625750117,0.19265886749680858,0.36657496297147746,,48.0,pca_mlp,38,,
7,0.3,ml_only,63,0.4975491032578287,0.3990346367416134,0.7336590413995716,,,none,38,,
7,0.3,mlp_concat_ub,63,0.22102500835530062,0.1570724210022959,0.3259115425864869,,,direct_ub,38,,
7,0.3,pca_regression_ub,63,0.23243723580526549,0.17362291554709305,0.3427393969557398,,48.0,pca_mlp,38,,
7,0.3,ml_only,64,0.42509866933655,0.32583681474224546,0.6176081281586999,,,none,38,,
7,0.3,mlp_concat_ub,64,0.32584483972544204,0.25154146905477537,0.4734063784464047,,,direct_ub,38,,
7,0.3,pca_regression_ub,64,0.39418725860052406,0.29729770916686427,0.572698228644742,,48.0,pca_mlp,38,,
7,0.3,ml_only,65,0.4463393504437937,0.3504360442254821,0.6104055310993611,,,none,38,,
7,0.3,mlp_concat_ub,65,0.3963554906704128,0.30522407171267213,0.542048518792402,,,direct_ub,38,,
7,0.3,pca_regression_ub,65,0.34705456813898444,0.27306101190166543,0.4746254789650531,,48.0,pca_mlp,38,,
7,0.3,ml_only,66,0.5655139078184463,0.4630766379774668,0.8250175202546906,,,none,38,,
7,0.3,mlp_concat_ub,66,0.29965021453161234,0.2287128560341686,0.4371540178212977,,,direct_ub,38,,
7,0.3,pca_regression_ub,66,0.278800714390619,0.21825208357610698,0.40673707728799,,48.0,pca_mlp,38,,
7,0.3,ml_only,67,0.5367393041510007,0.4343545795613668,0.824635501193788,,,none,38,,
7,0.3,mlp_concat_ub,67,0.29739649404267665,0.22792119375075326,0.4569140083863949,,,direct_ub,38,,
