seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m
7,0.3,hybrid_fista,22,0.38474795107238785,0.29353534761843236,0.5829919103851429,0.09917355371891236,0.001,fista,38
7,0.3,hybrid_spgl1,22,0.4570522175013676,0.3518986867215797,0.6925514344760105,0.2857142857139591,0.1,spgl1,38
7,0.3,cs_only_fista,22,0.6043968407110443,0.48942033501769966,0.9158163618929386,0.08130081300803597,0.001,fista,38
7,0.3,cs_only_spgl1,22,0.6603708533971443,0.5202679403460964,1.0006313595994554,0.0,0.1,spgl1,38
7,0.3,ml_only,23,0.40768072772701486,0.339990523830657,0.6639342735780364,,,none,38
7,0.3,hybrid_fista,23,0.3478516879159021,0.2879945790649422,0.5664988360302969,0.1111111111110041,0.001,fista,38
7,0.3,hybrid_spgl1,23,0.40780264856803217,0.340771773830657,0.6641328295055293,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,23,0.5233853553028763,0.40950869433533177,0.8523666978613744,0.08333333333323696,0.001,fista,38
7,0.3,cs_only_spgl1,23,0.6137300389682798,0.5038588666023458,0.9994988231778108,0.0,0.1,spgl1,38
7,0.3,ml_only,24,0.4276708776935034,0.344185319549819,0.6678766404147229,,,none,38
7,0.3,hybrid_fista,24,0.38637426412397036,0.31276106227032596,0.6033853575851001,0.11009174311916001,0.001,fista,38
7,0.3,hybrid_spgl1,24,0.4265517155492247,0.343404069549819,0.6661288893005217,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,24,0.5576798262804467,0.45266495569070375,0.8709064568810337,0.09999999999990332,0.001,fista,38
7,0.3,cs_only_spgl1,24,0.6396585775210137,0.5350926450164324,0.9989294199109897,0.0,0.1,spgl1,38
7,0.3,ml_only,25,0.3646677377197245,0.2942373134895446,0.5029859645523305,,,none,38
7,0.3,hybrid_fista,25,0.30835386333874104,0.2539786469598829,0.4253122756202764,0.09615384615373558,0.001,fista,38
7,0.3,hybrid_spgl1,25,0.36225016239912344,0.29345606348954467,0.49965140454404966,0.2857142857139591,0.1,spgl1,38
7,0.3,cs_only_fista,25,0.575695214147604,0.46381874902430253,0.7940560203840886,0.09448818897628644,0.001,fista,38
7,0.3,cs_only_spgl1,25,0.7235589149083729,0.5846836145776173,0.9980043230622769,0.0,0.1,spgl1,38
7,0.3,ml_only,26,0.3947877435463958,0.30077176043100495,0.6749749180501514,,,none,38
7,0.3,hybrid_fista,26,0.3640906613209128,0.27790194188605866,0.6224916257032371,0.0970873786406651,0.001,fista,38
7,0.3,hybrid_spgl1,26,0.3959726847061858,0.301553010431005,0.6770008308990126,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,26,0.5152090089804693,0.41579238042861205,0.8808610811759504,0.10169491525413904,0.001,fista,38
7,0.3,cs_only_spgl1,26,0.5839759405763773,0.46766818534621524,0.9984330037527552,0.0,0.1,spgl1,38
7,0.3,ml_only,27,0.3818976084209736,0.29654286950298275,0.5424655960355149,,,none,38
7,0.3,hybrid_fista,27,0.3457781672449054,0.2690654821443562,0.4911598173293881,0.10810810810800389,0.001,fista,38
7,0.3,hybrid_spgl1,27,0.3809848665513874,0.29576161950298274,0.5411690939066881,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,27,0.6367400675298307,0.506380521317005,0.904455991961886,0.0975609756096617,0.001,fista,38
7,0.3,cs_only_spgl1,27,0.7023852469764129,0.570293294192727,0.9977015389622608,0.2857142857139591,0.1,spgl1,38
7,0.3,ml_only,28,0.4381974081946227,0.33693083390861,0.5841120007819309,,,none,38
7,0.3,hybrid_fista,28,0.34732826274322576,0.27383487025954023,0.462984496679064,0.08264462809907794,0.001,fista,38
7,0.3,hybrid_spgl1,28,0.4373273851774585,0.33614958390861,0.5829522703139305,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,28,0.5659409249575129,0.4496143550985632,0.7543926089459833,0.0975609756096617,0.001,fista,38
7,0.3,cs_only_spgl1,28,0.7491348494414496,0.5953670591575378,0.9985879596265611,0.0,0.1,spgl1,38
7,0.3,ml_only,29,0.4013118758191937,0.32579133780107583,0.5553384150310677,,,none,38
7,0.3,hybrid_fista,29,0.3628381272130244,0.298785272832104,0.5020981501432178,0.1111111111110041,0.001,fista,38
7,0.3,hybrid_spgl1,29,0.4011427724499955,0.32501008780107576,0.5551044085072507,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,29,0.5902822768357113,0.4715294384731615,0.8168370880371435,0.09599999999990708,0.001,fista,38
7,0.3,cs_only_spgl1,29,0.7215336540960401,0.5817755209822606,0.9984637385557914,0.0,0.1,spgl1,38
7,0.3,ml_only,30,0.5604086624790189,0.4606246357077942,0.7029727066758279,,,none,38
7,0.3,hybrid_fista,30,0.4815915832291443,0.38147105130627207,0.6041051137170166,0.10619469026538428,0.001,fista,38
7,0.3,hybrid_spgl1,30,0.5586743374184838,0.45984338570779415,0.700797181449885,0.2857142857139591,0.1,spgl1,38
7,0.3,cs_only_fista,30,0.6786312449884949,0.5312162451559288,0.8512702873186042,0.10434782608685579,0.001,fista,38
7,0.3,cs_only_spgl1,30,0.796394066524046,0.6450550223427708,0.9989911470112901,0.0,0.1,spgl1,38
7,0.3,ml_only,31,0.37115481738608763,0.2952027348585518,0.5815364599723707,,,none,38
7,0.3,hybrid_fista,31,0.3122256419014368,0.25127156445824256,0.48920446670394907,0.09174311926594934,0.001,fista,38
7,0.3,hybrid_spgl1,31,0.36957519458987725,0.2944214848585518,0.5790614597676871,0.2499999999995625,0.1,spgl1,38
7,0.3,cs_only_fista,31,0.5562059622451607,0.42358078487621975,0.8714801240559115,0.0975609756096617,0.001,fista,38
7,0.3,cs_only_spgl1,31,0.6384535390219007,0.5116897537113425,1.0003480853473765,0.0,0.1,spgl1,38
7,0.3,ml_only,32,0.4248760584680684,0.31767204673788957,0.6322407754105956,,,none,38
7,0.3,hybrid_fista,32,0.32884319024427594,0.26390539606435376,0.48933817155564774,0.10526315789463528,0.001,fista,38
7,0.3,hybrid_spgl1,32,0.42230152554389877,0.31689079673788956,0.6284097177177569,0.2857142857139591,0.1,spgl1,38
7,0.3,cs_only_fista,32,0.5387280212826544,0.4371420040277534,0.801659248909549,0.08333333333323696,0.001,fista,38
7,0.3,cs_only_spgl1,32,0.6701469133371027,0.5306552072734604,0.9972183550537947,0.2857142857139591,0.1,spgl1,38
7,0.3,ml_only,33,0.4474433333319469,0.33613323438080567,0.7196443552123113,,,none,38
7,0.3,hybrid_fista,33,0.3900165860229393,0.30102467595612314,0.6272821912006468,0.08333333333323696,0.001,fista,38
7,0.3,hybrid_spgl1,33,0.44639053715598315,0.33535198438080566,0.7179510931413813,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,33,0.49615780847367824,0.39374779467455906,0.7979941582852949,0.08474576271176645,0.001,fista,38
7,0.3,cs_only_spgl1,33,0.6198494518064921,0.49389187493039843,0.9969333004746294,0.0,0.1,spgl1,38
7,0.3,ml_only,34,0.3613862755846962,0.27843416307413527,0.5460196191450748,,,none,38
7,0.3,hybrid_fista,34,0.2912117249325992,0.22931425480611717,0.439992677865301,0.11538461538450445,0.001,fista,38
7,0.3,hybrid_spgl1,34,0.3603394531291072,0.2776529130741353,0.5444379719239998,0.2499999999995625,0.1,spgl1,38
7,0.3,cs_only_fista,34,0.6020397640541723,0.48769063690622305,0.9096237042958988,0.08547008546998672,0.001,fista,38
7,0.3,cs_only_spgl1,34,0.6611983877407931,0.5318452494288651,0.9990066481341884,0.0,0.1,spgl1,38
7,0.3,ml_only,35,0.41497850828583804,0.3284662446518196,0.5430295193716004,,,none,38
7,0.3,hybrid_fista,35,0.3566501820955894,0.28512015160945925,0.46670266796988025,0.09677419354829345,0.001,fista,38
7,0.3,hybrid_spgl1,35,0.41371332639370684,0.3276849946518196,0.5413739369713464,0.2222222222217284,0.1,spgl1,38
7,0.3,cs_only_fista,35,0.6619826865306303,0.5322612206715716,0.8662524273460472,0.09448818897628644,0.001,fista,38
7,0.3,cs_only_spgl1,35,0.7629061587983621,0.6155816897760626,0.9983181212183431,0.0,0.1,spgl1,38
7,0.3,ml_only,36,0.3821571348227564,0.29737053856262896,0.5551893079162842,,,none,38
7,0.3,hybrid_fista,36,0.34243802829223163,0.26702336557788353,0.4974862814479632,0.08771929824551279,0.001,fista,38
7,0.3,hybrid_spgl1,36,0.3800307920491468,0.2965892885626289,0.5521002048607555,0.2857142857139591,0.1,spgl1,38
7,0.3,cs_only_fista,36,0.586504577037945,0.45322113808014075,0.852060685368211,0.10434782608685579,0.001,fista,38
7,0.3,cs_only_spgl1,36,0.6861573424908809,0.542356179687764,0.9968339863021826,0.0,0.1,spgl1,38
7,0.3,ml_only,37,0.6178747175782217,0.4706992094834575,0.7735454632386531,,,none,38
7,0.3,hybrid_fista,37,0.534998373075217,0.4304736342173652,0.6697887978884692,0.09677419354829345,0.001,fista,38
7,0.3,hybrid_spgl1,37,0.6169311703739969,0.4699179594834575,0.7723641935760259,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,37,0.7213623354895256,0.5855455715978337,0.9031063192814963,0.09999999999990332,0.001,fista,38
7,0.3,cs_only_spgl1,37,0.7978081246271769,0.6674135064336251,0.9988122798731639,0.0,0.1,spgl1,38
7,0.3,ml_only,38,0.42678034994062436,0.3034107848266101,0.5512243030613385,,,none,38
7,0.3,hybrid_fista,38,0.3556835258548515,0.2645644242282633,0.4593965108211216,0.11009174311916001,0.001,fista,38
7,0.3,hybrid_spgl1,38,0.426218604379636,0.30262953482661004,0.550498759335165,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,38,0.6661748118789869,0.5359553694629926,0.8604232749846638,0.08264462809907794,0.001,fista,38
7,0.3,cs_only_spgl1,38,0.7718257407357926,0.6177775562919454,0.9968807281803839,0.2857142857139591,0.1,spgl1,38
7,0.3,ml_only,39,0.40627940147043035,0.3087820375074814,0.5541270100039026,,,none,38
7,0.3,hybrid_fista,39,0.3442644454039558,0.2665632333844018,0.46954442458050655,0.08695652173903001,0.001,fista,38
7,0.3,hybrid_spgl1,39,0.40488536212893905,0.3080007875074814,0.5522256710501369,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,39,0.6107015500008337,0.49188577271287265,0.832939653553518,0.08403361344528099,0.001,fista,38
7,0.3,cs_only_spgl1,39,0.7320649260618093,0.599852722745404,0.9984679192181071,0.0,0.1,spgl1,38
7,0.3,ml_only,40,0.4144418056182398,0.317290177440856,0.5977187926642147,,,none,38
7,0.3,hybrid_fista,40,0.368819663604079,0.28631702060791187,0.5319213483094374,0.10810810810800389,0.001,fista,38
7,0.3,hybrid_spgl1,40,0.41323465675825904,0.316508927440856,0.5959778110610742,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,40,0.5938132635048178,0.47801502834652065,0.8564129924118735,0.09599999999990708,0.001,fista,38
7,0.3,cs_only_spgl1,40,0.6918937748350051,0.5521719446941382,0.9978672666222559,0.0,0.1,spgl1,38
7,0.3,ml_only,41,0.41507436656376256,0.3361897338361485,0.5491684363099409,,,none,38
7,0.3,hybrid_fista,41,0.3650326248733359,0.299120268022434,0.482960192081648,0.08771929824551279,0.001,fista,38
7,0.3,hybrid_spgl1,41,0.4140177403831901,0.33540848383614846,0.5477704561066513,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,41,0.6413995525097683,0.5148275616332247,0.848610315827768,0.09677419354829345,0.001,fista,38
7,0.3,cs_only_spgl1,41,0.7549235703113228,0.6179923377393102,0.9988094424465027,0.0,0.1,spgl1,38
7,0.3,ml_only,42,0.4787854438924392,0.3642587059112853,0.5894224571281047,,,none,38
7,0.3,hybrid_fista,42,0.4427441675913976,0.34139938018191585,0.5450528174358729,0.08620689655162456,0.001,fista,38
7,0.3,hybrid_spgl1,42,0.4786748654596728,0.3634774559112852,0.5892863263990318,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,42,0.7157881071439083,0.5812411812305356,0.8811913358640433,0.09523809523800303,0.001,fista,38
7,0.3,cs_only_spgl1,42,0.8111998030460061,0.6557027809624862,0.9986506215519517,0.0,0.1,spgl1,38
7,0.3,ml_only,43,0.37964173174111593,0.3061155843863821,0.5888565221755057,,,none,38
7,0.3,hybrid_fista,43,0.3558472309295065,0.28594288676461366,0.5519492334784314,0.07407407407396777,0.001,fista,38
7,0.3,hybrid_spgl1,43,0.3790000681790069,0.305334334386382,0.5878612475731657,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,43,0.5381764972111729,0.4444356989380859,0.8347573882643448,0.08130081300803597,0.001,fista,38
7,0.3,cs_only_spgl1,43,0.6435908637714467,0.5411099247900135,0.9982640106668209,0.0,0.1,spgl1,38
7,0.3,ml_only,44,0.39419938653238423,0.31764772276999576,0.5739362789013435,,,none,38
7,0.3,hybrid_fista,44,0.3363241193876234,0.26882587311056366,0.48967253674365135,0.08849557522113682,0.001,fista,38
7,0.3,hybrid_spgl1,44,0.394449877602927,0.3184289727699957,0.5743009824443651,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,44,0.6109935680078579,0.4682736792368035,0.8895786924982353,0.1025641025640035,0.001,fista,38
7,0.3,cs_only_spgl1,44,0.6864512801470576,0.5505960255292092,0.9994416704712443,0.0,0.1,spgl1,38
7,0.3,ml_only,45,0.47888064406347014,0.37965669647864336,0.669866330169591,,,none,38
7,0.3,hybrid_fista,45,0.40097905594555194,0.3297632829036433,0.5608962734470302,0.08849557522113682,0.001,fista,38
7,0.3,hybrid_spgl1,45,0.4762584720785951,0.37887544647864335,0.6661983917253115,0.2857142857139591,0.1,spgl1,38
7,0.3,cs_only_fista,45,0.5936629993584126,0.48967041463224625,0.830425826701371,0.07936507936498742,0.001,fista,38
7,0.3,cs_only_spgl1,45,0.7135677982490167,0.5711112832775973,0.9981506838203116,0.2857142857139591,0.1,spgl1,38
