seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,m
7,0.3,hybrid_lfista_joint,46,0.33073209621500244,0.27788230848189105,0.5860591247423583,0.08955223880588327,38
7,0.3,ml_only_torch,47,0.45961959315419487,0.3689676601881783,0.6536871598228002,,38
7,0.3,hybrid_lfista_frozen,47,0.39148680217444354,0.3054633913175302,0.5567863068354201,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,47,0.391393711333841,0.3053745325501176,0.5566539097659623,0.09022556390968692,38
7,0.3,ml_only_torch,48,0.5010394077673697,0.41012039467649564,0.6973426789830285,,38
7,0.3,hybrid_lfista_frozen,48,0.4266664018786171,0.33206187180153457,0.5938309184977868,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,48,0.42643545536490257,0.33180892101049786,0.5935094889693331,0.09022556390968692,38
7,0.3,ml_only_torch,49,0.4797021039391659,0.3919376669383433,0.6838719278736589,,38
7,0.3,hybrid_lfista_frozen,49,0.4281218228000516,0.34796064650281955,0.6103381534473855,0.09090909090900273,38
7,0.3,hybrid_lfista_joint,49,0.42801390788477944,0.3477465801172952,0.6101843080075855,0.09022556390968692,38
7,0.3,ml_only_torch,50,0.533196397413896,0.43919593803338663,0.7522344221505192,,38
7,0.3,hybrid_lfista_frozen,50,0.4351706099630955,0.35821941020638204,0.613939467539896,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,50,0.43493156792623594,0.3580984029615196,0.613602226610777,0.08955223880588327,38
7,0.3,ml_only_torch,51,0.46968567364319425,0.3910046823450217,0.6639966310001535,,38
7,0.3,hybrid_lfista_frozen,51,0.4090359608646144,0.3377706768340286,0.5782558745411929,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,51,0.40897849786746526,0.33768613320424634,0.5781746388581493,0.08955223880588327,38
7,0.3,ml_only_torch,52,0.4459358333095767,0.33215353080630666,0.6904946038720561,,38
7,0.3,hybrid_lfista_frozen,52,0.35705807659769767,0.28537349224644015,0.5528747787094479,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,52,0.3565689997567385,0.2853282576179528,0.5521174838379981,0.08955223880588327,38
7,0.3,ml_only_torch,53,0.5838245432531564,0.47330086676682254,0.7312842326065375,,38
7,0.3,hybrid_lfista_frozen,53,0.4994594821004038,0.40862167632462193,0.6256106364604737,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,53,0.4992847881761795,0.4086085672899961,0.6253918191568956,0.09090909090900273,38
7,0.3,ml_only_torch,54,0.35998848821085383,0.2891740487913108,0.5530651811853741,,38
7,0.3,hybrid_lfista_frozen,54,0.2720346394957266,0.2074656406581137,0.4179380511003399,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,54,0.271733373870645,0.20720523666246532,0.41747520427890744,0.08955223880588327,38
7,0.3,ml_only_torch,55,0.4581596090975075,0.3689507146972141,0.6739314664057193,,38
7,0.3,hybrid_lfista_frozen,55,0.3452726109651973,0.2778421868426001,0.5078799448861603,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,55,0.34450742463671363,0.27737394520968406,0.5067543914017656,0.08955223880588327,38
7,0.3,ml_only_torch,56,0.6015691190234287,0.497039370194837,0.8534016223150716,,38
7,0.3,hybrid_lfista_frozen,56,0.514362921030493,0.42026611259212354,0.729688638237838,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,56,0.514140563148996,0.4199168341380909,0.7293731955550221,0.09022556390968692,38
7,0.3,ml_only_torch,57,0.5348933080871062,0.4553840618234445,0.6078801108327849,,38
7,0.3,hybrid_lfista_frozen,57,0.46147985785118034,0.3707677919853251,0.5244493114727666,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,57,0.46108039927751016,0.36994260155530745,0.5239953463205307,0.09022556390968692,38
7,0.3,ml_only_torch,58,0.54558440889945,0.4437275764601686,0.7011865167945275,,38
7,0.3,hybrid_lfista_frozen,58,0.4753902276642451,0.3743251498286499,0.6109727705131008,0.09090909090900273,38
7,0.3,hybrid_lfista_joint,58,0.47520666703854253,0.3741040344517332,0.6107368579143213,0.09022556390968692,38
7,0.3,ml_only_torch,59,0.405434104505325,0.3183698818018061,0.631086990288399,,38
7,0.3,hybrid_lfista_frozen,59,0.35552233698470365,0.2796260632093879,0.553395777845886,0.09022556390968692,38
