measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,bg_type,run_id
0.15,ae_regression_ub,0.0139903436324817,0.0004222508499286,0.0002437866418718,0.0113502283914073,0.0003881288006557,0.1854654460097126,0.00625072437922,,,3,385,0.0004778218180687,linear,prod_bg_linear_dct
0.15,hybrid_lfista_joint,0.0589351253934962,0.001141293976067,0.0006589263843068,0.0449103582627572,0.0009811717958755,0.8187593769735212,0.0147964978844412,0.7670815483137758,0.0172772402964321,3,385,0.0012914957132413,linear,prod_bg_linear_dct
0.15,ml_only,0.0171679260496875,0.0003281624469694,0.0001894646770957,0.0137980133903988,0.0002613669422375,0.2294784880089471,0.0061311834848896,,,3,385,0.0003713507671076,linear,prod_bg_linear_dct
0.15,mlp_concat_ub,0.0793412273613244,0.007420772297109,0.0042843848833308,0.0647530546048554,0.0059077553081599,1.0191369264782943,0.1219645543259334,,,3,385,0.0083973943713284,linear,prod_bg_linear_dct
0.15,pca_regression_ub,0.0755008076399995,0.0142465642327012,0.0082252576947773,0.0612561848867216,0.0122404987959072,1.0173267896758122,0.2414597922068923,,,3,385,0.0161215050817636,linear,prod_bg_linear_dct
0.2,ae_regression_ub,0.0138720923661888,0.0008174260273577,0.0004719411369375,0.011269257964649,0.000649153177234,0.1834600401061288,0.0140788904630073,,,3,385,0.0009250046283976,linear,prod_bg_linear_dct
0.2,hybrid_lfista_joint,0.0578754073045842,0.0007453204531019,0.0004303109642309,0.0433264252296282,0.0006125063983185,0.8040795988549254,0.0109415397713239,0.8093830100067807,0.0333976188357291,3,385,0.0008434094898926,linear,prod_bg_linear_dct
0.2,ml_only,0.0171679260496875,0.0003281624469694,0.0001894646770957,0.0137980133903988,0.0002613669422375,0.2294784880089471,0.0061311834848896,,,3,385,0.0003713507671076,linear,prod_bg_linear_dct
0.2,mlp_concat_ub,0.0846377343111248,0.0044339869123803,0.002559963537446,0.0689024811316596,0.0035046252892609,1.1234326904233864,0.0658581232594249,,,3,385,0.0050175285333942,linear,prod_bg_linear_dct
0.2,pca_regression_ub,0.0758728737880228,0.0081093102485916,0.0046819124549665,0.0612730493036141,0.0065408275669991,1.0307176321567932,0.0975476211091397,,,3,385,0.0091765484117344,linear,prod_bg_linear_dct
0.3,ae_regression_ub,0.013728902764155,0.0005130281603749,0.0002961969464943,0.0111530464407307,0.0004228489093425,0.1805692830271991,0.0058083081965,,,3,385,0.0005805460151288,linear,prod_bg_linear_dct
0.3,hybrid_lfista_joint,0.0546082967561989,0.0008180169316677,0.0004722822957,0.0394540975006747,0.0005290640785035,0.7582777321838973,0.0114160053608175,0.8723540601899383,0.0036931145083841,3,385,0.000925673299572,linear,prod_bg_linear_dct
0.3,ml_only,0.0171679260496875,0.0003281624469694,0.0001894646770957,0.0137980133903988,0.0002613669422375,0.2294784880089471,0.0061311834848896,,,3,385,0.0003713507671076,linear,prod_bg_linear_dct
0.3,mlp_concat_ub,0.0845341647940781,0.0048396707068033,0.002794185185362,0.068702640884489,0.0038022514440746,1.112563486811932,0.0544833716343888,,,3,385,0.0054766029633096,linear,prod_bg_linear_dct
0.3,pca_regression_ub,0.076445372265919,0.0070805636028903,0.004087965302143,0.0615154405184012,0.0058481463241891,1.0289553054985177,0.0891516075023564,,,3,385,0.0080124119922003,linear,prod_bg_linear_dct
0.05,ae_regression_ub,0.0140867109693474,0.000182638377712,0.0001054463165363,0.0114218959015288,0.0001192572994732,0.1853156854556248,0.0034487849439527,,,3,385,0.0002066747804113,shallow,prod_bg_shallow_dct
