measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,method_label
0.4,ml_only,0.0254582900886628,0.0004714996130046,0.000272220428491,0.0221870740414732,0.000613958309166,0.0954950165717642,0.0017846426333094,,,3,275,0.0005335520398424,ML only
0.4,mlp_concat_ub,0.0372848101211265,0.002062775161027,0.0011909437944966,0.0324494962019097,0.0013560730489303,0.1396620246552052,0.0077287287227302,,,3,275,0.0023342498372133,"MLP [u,b]"
0.4,pca_regression_ub,0.0220553138296679,0.0012529933823613,0.0007234160665991,0.0178960996914743,0.0009558840457671,0.0826277581568188,0.0047345414439334,,,3,275,0.0014178954905342,"PCA [u,b]"
0.4,ridge_prior_csgm,0.0134204106277987,0.0006399797483169,0.0003694924799667,0.0114103590924861,0.0004395924861915,0.0503415403310287,0.0024067199335088,,,3,275,0.0007242052607347,CLP-CSGM Ridge
0.4,ridge_prior_only_decoder,0.0194209542537292,0.0001655836187799,9.55997468759909e-05,0.0171583433278192,0.0001759370394723,0.0728832929193403,0.000619710970196,,,3,275,0.0001873755038769,Prior-only Ridge
0.5,ae_regression_ub,0.0123403815404763,0.000387982357653,0.0002240017186318,0.0106463694826574,0.0003041365599453,0.0462527793572025,0.0014588183607621,,,3,275,0.0004390433685184,"AE [u,b]"
0.5,measurement_only_csgm,0.0164133841004523,0.000879527120608,0.0005077952198426,0.0129270019205358,0.0006277937984871,0.0614873782589286,0.0032969113740506,,,3,275,0.0009952786308915,Measurement-only CSGM
0.5,ml_only,0.0254582900886628,0.0004714996130046,0.000272220428491,0.0221870740414732,0.000613958309166,0.0954950165717642,0.0017846426333094,,,3,275,0.0005335520398424,ML only
0.5,mlp_concat_ub,0.0446565029387262,0.0043584340386408,0.0025163430654545,0.0396482190174612,0.0039164439946064,0.1671684211179691,0.0162654500965526,,,3,275,0.0049320324082908,"MLP [u,b]"
0.5,pca_regression_ub,0.0235798359365772,0.0023995538821955,0.0013853830798206,0.0190862165226534,0.0019844005832441,0.088343120920508,0.0089948690467336,,,3,275,0.0027153508364484,"PCA [u,b]"
0.5,ridge_prior_csgm,0.0124555184845471,0.0003563605967695,0.0002057448864734,0.0106132150412942,0.0002675460950805,0.046726277678934,0.0013356821524871,,,3,275,0.0004032599774879,CLP-CSGM Ridge
0.5,ridge_prior_only_decoder,0.0194209542537292,0.0001655836187799,9.55997468759909e-05,0.0171583433278192,0.0001759370394723,0.0728832929193403,0.000619710970196,,,3,275,0.0001873755038769,Prior-only Ridge
0.6,ae_regression_ub,0.0112552378150943,2.5613096500450995e-05,1.4787728159315245e-05,0.0095452896112573,2.060971721429349e-05,0.0421760684103601,8.966430759007673e-05,,,3,275,2.898394719225788e-05,"AE [u,b]"
0.6,measurement_only_csgm,0.0150299049794712,0.0009386217117486,0.0005419134979452,0.0117907388679166,0.0005048276397265,0.0563120236182468,0.0035130552572003,,,3,275,0.0010621504559727,Measurement-only CSGM
0.6,ml_only,0.0254582900886628,0.0004714996130046,0.000272220428491,0.0221870740414732,0.000613958309166,0.0954950165717642,0.0017846426333094,,,3,275,0.0005335520398424,ML only
0.6,mlp_concat_ub,0.04423018604125,0.0043722443079524,0.0025243164281591,0.0387278497495687,0.0042531411217725,0.165682837908002,0.016420999625647,,,3,275,0.0049476601991919,"MLP [u,b]"
0.6,pca_regression_ub,0.024173703188936,0.0030480091716581,0.0017597689157492,0.0195957379911456,0.0024267865710933,0.0905623228062966,0.0114454425826555,,,3,275,0.0034491470748685,"PCA [u,b]"
0.6,ridge_prior_csgm,0.0118575651989707,0.0002834738697255,0.0001636637149942,0.0100606173589935,0.000238839321026,0.0444697528833106,0.0010730326647254,,,3,275,0.0003207808813888,CLP-CSGM Ridge
