seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m,val_score,ae_recon_train_rmse,method_label
7,0.05,pca_regression_ub,20,0.14821668931376555,0.1030082514510645,2.647927018571891,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,20,0.009718493358238524,0.007951817003746479,0.1736232354280581,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,21,0.020803401376366288,0.016364464247007392,0.360100799912326,,,none,4,,,ML only
7,0.05,mlp_concat_ub,21,0.13882306547531054,0.11573563454452987,2.4029867048920193,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,21,0.12602851448840385,0.11273152160388973,2.181516765359041,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,21,0.011488244216804444,0.0095996290635556,0.19885815099251944,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,22,0.018960367429947517,0.016041609122835684,0.32154149980454305,,,none,4,,,ML only
7,0.05,mlp_concat_ub,22,0.08273522007665843,0.06835783737476704,1.4030744313577541,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,22,0.15728798219686513,0.11498069470536447,2.667385739420255,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,22,0.009569409617349086,0.0077027031978203365,0.16228389729127524,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,23,0.01550092460772695,0.01256976036163769,0.26539751649263105,,,none,4,,,ML only
7,0.05,mlp_concat_ub,23,0.18976094747831146,0.15607783020959007,3.2489729137143084,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,23,0.13497258844461246,0.10942993169653278,2.310919553142383,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,23,0.010761714999963843,0.009264019631295355,0.18425561742092245,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,24,0.02002379379008367,0.01613037353663536,0.3411352124565275,,,none,4,,,ML only
7,0.05,mlp_concat_ub,24,0.09922577963818427,0.08122200817956657,1.6904592492757153,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,24,0.11441697247752598,0.0923387683644176,1.9492638919445442,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,24,0.007945657075306096,0.006131542819198967,0.13536612706397283,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,25,0.020389439638149456,0.01703111827769614,0.33571314230186283,,,none,4,,,ML only
7,0.05,mlp_concat_ub,25,0.1335993245935429,0.10675617884023336,2.1997195540767454,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,25,0.06934123478557623,0.05412483457340301,1.1417068950439195,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,25,0.013438323263300736,0.01150018902326837,0.2212626639110701,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,26,0.022835939583341694,0.018439135178335016,0.3768636171637388,,,none,4,,,ML only
7,0.05,mlp_concat_ub,26,0.16104494224212604,0.12342888905708939,2.6577395354280258,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,26,0.10569586790946613,0.07665765744042688,1.7443086567228165,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,26,0.014417108789949996,0.011441076285416185,0.2379268760890902,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,27,0.018465553106498205,0.015433940174987703,0.29926431380552526,,,none,4,,,ML only
7,0.05,mlp_concat_ub,27,0.09809144830617558,0.0828315170933277,1.5897314203497857,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,27,0.11306471144548881,0.08600891175667534,1.8323974966364063,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,27,0.017864952784008153,0.014869343464211971,0.2895306089798566,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,28,0.022493570910569912,0.019409441651947808,0.37025201316559014,,,none,4,,,ML only
7,0.05,mlp_concat_ub,28,0.21851249362713876,0.16950657739806216,3.5967917672539733,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,28,0.15105813650786784,0.1199621649660147,2.4864695503193244,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,28,0.009203271787364528,0.0076103890993274755,0.15148905971975177,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,29,0.020115178570846444,0.0148550569542267,0.31990551780699783,,,none,4,,,ML only
7,0.05,mlp_concat_ub,29,0.10926821770760109,0.08971741696336229,1.7377676087976668,,,direct_ub,4,,,"MLP [u,b]"
7,0.05,pca_regression_ub,29,0.1012465095216354,0.08706595207976048,1.610192867072667,,8.0,pca_mlp,4,,,"PCA [u,b]"
7,0.05,ae_regression_ub,29,0.010910442472425822,0.007910007986608743,0.1735162696344869,,32.0,ae_mlp,4,,,"AE [u,b]"
7,0.05,ml_only,30,0.02403735725296309,0.019472324014195724,0.35981935557901534,,,none,4,,,ML only
7,0.05,mlp_concat_ub,30,0.14025859934804683,0.11468056441192048,2.099555217352704,,,direct_ub,4,,,"MLP [u,b]"
