Depth(m),HFU,hfu_source,phi_input,phi_input_source,Phi_Sonic (pu),Phi_lab (pu),alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,n_ct_plugs_calib,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,status,error
5229.530000,3,lab,0.151000,Phi_ND,0.141000,0.158000,0.177836,68.885679,29.758722,2.754277,m3_hier_joint_vp_vs,2,0.177836,28.084007,17.651875,42.711537,21.125863,2.338381,4698.407414,2747.500396,1.710066,4.698407,2.747500,5505.569168,3005.727289,1.831693,5.505569,3.005727,0.171795,0.071124,ok,
5229.720000,2,lab,0.161000,Phi_ND,0.151000,0.183000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,23.557066,16.106024,41.259150,20.765602,2.320967,4404.788065,2634.266488,1.672112,4.404788,2.634266,5450.320288,2991.147284,1.822150,5.450320,2.991147,0.237363,0.089730,ok,
5230.290000,3,lab,0.172000,Phi_ND,0.166000,0.162000,0.177836,68.885679,29.758722,2.754277,m3_hier_joint_vp_vs,2,0.177836,25.102932,16.355158,39.434161,19.906738,2.280541,4535.371440,2677.986604,1.693575,4.535371,2.677987,5378.678560,2954.480152,1.820516,5.378679,2.954480,0.185940,0.074954,ok,
5230.480000,4,lab,0.170000,Phi_ND,0.168000,0.210000,0.169460,69.079982,30.011709,2.760313,m3_hier_global_hfu4,0,0.169460,25.082374,16.518784,39.921049,20.189821,2.291060,4534.469063,2685.164036,1.688712,4.534469,2.685164,5401.353998,2968.574996,1.819511,5.401354,2.968575,0.191177,0.077455,ok,
5230.860000,3,lab,0.182000,Phi_ND,0.164000,0.193000,0.177836,68.885679,29.758722,2.754277,m3_hier_joint_vp_vs,2,0.177836,23.732360,15.729547,37.904747,19.324409,2.252999,4454.490373,2642.272764,1.685856,4.454490,2.642273,5316.050531,2928.684955,1.815166,5.316051,2.928685,0.193414,0.076703,ok,
5231.050000,4,lab,0.179000,Phi_ND,0.161000,0.169000,0.169460,69.079982,30.011709,2.760313,m3_hier_global_hfu4,0,0.169460,23.675846,15.871799,38.537254,19.661436,2.266217,4448.089909,2646.441740,1.680781,4.448090,2.646442,5345.367029,2945.485373,1.814766,5.345367,2.945485,0.201722,0.079716,ok,
5231.240000,3,lab,0.170000,Phi_ND,0.166000,0.185000,0.177836,68.885679,29.758722,2.754277,m3_hier_joint_vp_vs,2,0.177836,25.817228,16.673642,39.742464,20.023063,2.286050,4584.565669,2700.675371,1.697563,4.584566,2.700675,5391.027805,2959.527680,1.821584,5.391028,2.959528,0.175908,0.073058,ok,
5231.440000,3,lab,0.170000,Phi_ND,0.174000,0.209000,0.177836,68.885679,29.758722,2.754277,m3_hier_joint_vp_vs,2,0.177836,25.817228,16.673642,39.742464,20.023063,2.286050,4584.565669,2700.675371,1.697563,4.584566,2.700675,5391.027805,2959.527680,1.821584,5.391028,2.959528,0.175908,0.073058,ok,
5232.200000,1,lab,0.139000,Phi_ND,0.125000,0.115000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,31.838988,19.547900,45.976940,22.772914,2.388267,4923.892573,2860.939244,1.721076,4.923893,2.860939,5653.755284,3087.933110,1.830919,5.653755,3.087933,0.148229,0.063823,ok,
5232.770000,2,lab,0.094000,Phi_ND,0.093000,0.189000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,36.550130,21.396858,52.137548,24.675080,2.506312,5095.698964,2921.846628,1.743999,5.095699,2.921847,5824.894331,3137.702024,1.856420,5.824894,3.137702,0.143100,0.064462,ok,
5232.960000,3,lab,0.131000,Phi_ND,0.100000,0.206000,0.177836,68.885679,29.758722,2.754277,m3_hier_joint_vp_vs,2,0.177836,31.422682,19.009496,45.915371,22.282356,2.393467,4870.131486,2818.198651,1.728101,4.870131,2.818199,5621.076705,3051.173163,1.842267,5.621077,3.051173,0.154194,0.066065,ok,
5233.150000,2,lab,0.148000,Phi_ND,0.111000,0.181000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,25.862521,17.160329,43.301319,21.527912,2.356929,4547.604244,2698.295577,1.685362,4.547604,2.698296,5527.244208,3022.231127,1.828862,5.527244,3.022231,0.215419,0.085145,ok,
5233.340000,2,lab,0.132000,Phi_ND,0.123000,0.170000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,28.401322,18.257775,45.860146,22.463594,2.401191,4686.810441,2757.468603,1.699679,4.686810,2.757469,5618.941336,3058.625267,1.837081,5.618941,3.058625,0.198884,0.080840,ok,
