Depth(m),HFU,phi_input,alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,kf_gpa,rho_fluid_gcc,sw,k_sat_gpa,g_sat_gpa,rho_sat_gcc,vp_dem_dry_km_s,vs_dem_dry_km_s,vpvs_dem_dry,status,error
5214.100000,4,0.084000,0.169460,69.079982,30.011709,2.760313,m3_hier_global_hfu4,0.169460,41.103582,22.677945,53.956683,25.193879,2.528447,5361.549441,2944.887872,1.820629,5.361549,2.944888,5884.336564,3156.607728,1.864133,5.884337,3.156608,0.107785,0.051017,2.200000,1.030000,1.000000,44.933129,22.677945,2.614967,5.311806,2.994849,1.773647,ok,
5214.290000,2,0.087000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,37.735177,21.811050,53.324573,25.080873,2.525677,5224.084487,2887.876660,1.808971,5.224084,2.887877,5861.182688,3151.247069,1.859957,5.861183,3.151247,0.139546,0.062671,2.200000,1.030000,1.000000,42.292541,21.811050,2.615287,5.143435,2.938660,1.750265,ok,
5214.480000,4,0.091000,0.169460,69.079982,30.011709,2.760313,m3_hier_global_hfu4,0.169460,38.754992,21.891872,52.759384,24.789438,2.509125,5263.011578,2900.123574,1.814754,5.263012,2.900124,5848.073519,3143.201554,1.860547,5.848074,3.143202,0.123823,0.056102,2.200000,1.030000,1.000000,42.908062,21.891872,2.602855,5.203732,2.953795,1.761711,ok,
5214.670000,4,0.095000,0.169460,69.079982,30.011709,2.760313,m3_hier_global_hfu4,0.169460,38.754992,21.891872,52.079571,24.558112,2.498083,5264.472341,2903.987141,1.812843,5.264472,2.903987,5827.136634,3135.407770,1.858494,5.827137,3.135408,0.117333,0.054937,2.200000,1.030000,1.000000,42.756268,21.891872,2.595933,5.215220,2.960315,1.761711,ok,
5214.860000,1,0.087000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,42.047127,23.312865,54.774498,25.899348,2.532506,5413.944695,2981.754480,1.815691,5.413945,2.981754,5938.372346,3197.931678,1.856942,5.938372,3.197932,0.105076,0.048445,2.200000,1.030000,1.000000,45.772487,23.312865,2.622116,5.373724,3.034049,1.771140,ok,
5215.430000,1,0.062000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,48.411367,25.342563,59.192865,27.392707,2.601852,5657.626037,3083.320638,1.834913,5.657626,3.083321,6065.297173,3244.712436,1.869287,6.065297,3.244712,0.079080,0.037914,2.200000,1.030000,1.000000,51.535965,25.342563,2.665712,5.620805,3.120930,1.801003,ok,
5215.620000,1,0.096000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,39.759803,22.528400,53.213837,25.360235,2.507541,5319.198532,2939.969719,1.809270,5.319199,2.939970,5891.205260,3180.186417,1.852472,5.891205,3.180186,0.116626,0.052437,2.200000,1.030000,1.000000,43.707890,22.528400,2.606421,5.275898,2.997375,1.760173,ok,
5216.000000,1,0.141000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,30.970209,19.193052,45.649202,22.652091,2.382719,4914.948625,2755.420338,1.783738,4.914949,2.755420,5642.181649,3083.313777,1.829908,5.642182,3.083314,0.158044,0.065965,2.200000,1.030000,1.000000,35.476222,19.193052,2.527949,4.872164,2.838152,1.716668,ok,
5216.390000,1,0.116000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,35.571014,21.006653,49.802601,24.159254,2.452065,5135.690108,2858.126068,1.796873,5.135690,2.858126,5783.363793,3138.887774,1.842488,5.783364,3.138888,0.135760,0.059067,2.200000,1.030000,1.000000,39.816429,21.006653,2.571545,5.092064,2.926931,1.739728,ok,
5216.770000,1,0.105000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,38.666132,22.142061,51.669061,24.820304,2.482577,5274.868947,2923.467050,1.804320,5.274869,2.923467,5843.207166,3161.929518,1.847988,5.843207,3.161930,0.114926,0.053056,2.200000,1.030000,1.000000,42.562266,22.142061,2.590727,5.240895,2.986467,1.754881,ok,
5216.960000,2,0.108000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,33.232621,20.183371,49.792091,23.862036,2.467583,5020.838103,2797.602807,1.794693,5.020838,2.797603,5750.833932,3109.695306,1.849324,5.750834,3.109695,0.164854,0.071308,2.200000,1.030000,1.000000,38.097919,20.183371,2.578823,4.936958,2.859966,1.726229,ok,
5217.340000,1,0.107000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,37.604189,21.759656,51.327936,24.700206,2.477029,5227.149674,2900.064869,1.802425,5.227150,2.900065,5832.424639,3157.800710,1.846989,5.832425,3.157801,0.124662,0.055596,2.200000,1.030000,1.000000,41.678507,21.759656,2.587239,5.185936,2.963879,1.749713,ok,
5217.530000,1,0.115000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,36.572842,21.381186,49.971297,24.219402,2.454839,5183.180878,2882.515438,1.798145,5.183181,2.882515,5788.859267,3141.016585,1.842989,5.788859,3.141017,0.124287,0.056358,2.200000,1.030000,1.000000,40.624089,21.381186,2.573289,5.148917,2.951239,1.744663,ok,
