seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m,val_score,ae_recon_train_rmse,method_label
41,0.1,mlp_concat_ub,0,0.24238299838478938,0.20011928735517887,4.3731312283332695,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,0,0.21590397666361977,0.16906216906049282,3.895390472767847,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,0,0.01165586308024276,0.009406594083311633,0.2102978309908769,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,1,0.02576845723125942,0.019751336449342367,0.5244122196801276,,,none,6,,,ML only
41,0.1,mlp_concat_ub,1,0.13649258757564312,0.11388027501387965,2.777751891704107,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,1,0.14976431073888444,0.1282303336560137,3.0478438782190245,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,1,0.01415086021367349,0.011226264208760113,0.28798324821842775,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,2,0.02713885609633223,0.022678261659429048,0.6212224134036667,,,none,6,,,ML only
41,0.1,mlp_concat_ub,2,0.27399801219828857,0.2233499360554569,6.27195581867698,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,2,0.13780018820854606,0.10271103037517659,3.154317381046941,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,2,0.012259378453661726,0.009499848099681586,0.2806234958017229,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,3,0.031790125464903694,0.023246271598862722,0.8028248830758762,,,none,6,,,ML only
41,0.1,mlp_concat_ub,3,0.2103547052637889,0.1735876559552175,5.312278236973398,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,3,0.16704528447558636,0.13747883490374285,4.2185461370872686,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,3,0.009402785050962781,0.007802059080113544,0.2374570624913279,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,4,0.02428847016421847,0.019377982872346784,0.6753358453262114,,,none,6,,,ML only
41,0.1,mlp_concat_ub,4,0.22721574118189955,0.1871635943856581,6.317686276863837,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,4,0.1622105160335766,0.13953157049614634,4.5102295544212305,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,4,0.012009521395329605,0.00943355634107381,0.33392223670910276,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,5,0.025348402448778465,0.01985190248086272,0.7452361579857024,,,none,6,,,ML only
41,0.1,mlp_concat_ub,5,0.44745616401701066,0.35647042217859115,13.155089880432552,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,5,0.12761851993991716,0.1039409909835805,3.7519498784992957,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,5,0.012898173326780024,0.010607325617317986,0.37920279806613294,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,6,0.027047443418943624,0.020999479953452672,0.7615086383456191,,,none,6,,,ML only
41,0.1,mlp_concat_ub,6,0.26460881825793925,0.212086698063002,7.449942597706583,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,6,0.15772416075335763,0.12294292904699085,4.440653004763209,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,6,0.009000890258086956,0.007029697281921803,0.2534160282052213,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,7,0.026376429868182713,0.02158781455235364,0.7356484277130708,,,none,6,,,ML only
41,0.1,mlp_concat_ub,7,0.28784197366996267,0.24009966834189578,8.02801957726527,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,7,0.09610052761941941,0.08312110798092184,2.6802794160896526,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,7,0.01657951151403566,0.013841108276597486,0.46240873531803034,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,8,0.027842581918239153,0.021769067745172753,0.7453072107062313,,,none,6,,,ML only
41,0.1,mlp_concat_ub,8,0.1446949230635366,0.11560553058951106,3.8732819329945762,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,8,0.14628755068986798,0.1042414413342598,3.915914360452648,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,8,0.011644579266368298,0.009436935548952743,0.3117091984626345,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,9,0.03106552298114195,0.026580542563758684,0.7929324295884639,,,none,6,,,ML only
41,0.1,mlp_concat_ub,9,0.12325644082816098,0.09519173563445252,3.146060961137818,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,9,0.09242497937195296,0.0728217148093151,2.3591028386212716,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,9,0.013554435664204322,0.010889648190014773,0.3459704061458223,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,10,0.022523333134424957,0.01800938781383459,0.5386570998235294,,,none,6,,,ML only
41,0.1,mlp_concat_ub,10,0.14312745044848452,0.1133669503511674,3.4229666143809374,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,10,0.11332850996731977,0.09157504317335438,2.7103096216703433,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,10,0.012200581031285984,0.009948086039262675,0.29178317237735346,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,11,0.018353129375615042,0.014608740974870233,0.39900809374706536,,,none,6,,,ML only
41,0.1,mlp_concat_ub,11,0.15653795816779248,0.12881752186687678,3.403229553352157,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,11,0.16614012725396635,0.13348606283220887,3.611986496350759,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,11,0.016888326283603667,0.014403394900572748,0.3671623917146467,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,12,0.020963393598578847,0.017895182352383122,0.416058571146404,,,none,6,,,ML only
41,0.1,mlp_concat_ub,12,0.12946217382840325,0.10393074399103144,2.569424020364927,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,12,0.12402300267084095,0.09464635635816933,2.4614732837919364,,8.0,pca_mlp,6,,,"PCA [u,b]"
