seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples
13,0.3,weighted_hybrid,0.3176295435719514,0.24932341757852108,0.45928630446290325,0.09353385534619099,300
13,0.4,cs_only,0.5579750806209405,0.4462262503304016,0.8051247819682817,0.09072335260645274,300
13,0.4,hybrid,0.2889905594835222,0.22760068237115713,0.4177357609041287,0.0937345220493095,300
13,0.4,ml_only,0.3614168266353519,0.2760499808695263,0.5224375098634608,,300
13,0.4,weighted_hybrid,0.2978067240251058,0.23466132704411347,0.43072091165490367,0.09387767751268083,300
13,0.5,cs_only,0.5145415185738742,0.41206712981049054,0.7424839318204322,0.09024594235964944,300
13,0.5,hybrid,0.26644097947057727,0.21067587401205662,0.38524079547790513,0.09271186129762894,300
13,0.5,ml_only,0.3614168266353519,0.2760499808695263,0.5224375098634608,,300
13,0.5,weighted_hybrid,0.2782586444193753,0.2204074292606801,0.40264790063483336,0.09255087741579719,300
13,0.6,cs_only,0.4567512456344533,0.3651292513312346,0.6595973404154863,0.09002088248336876,300
13,0.6,hybrid,0.2373345515010098,0.18802090825899576,0.34339655635940064,0.09201534987346778,300
13,0.6,ml_only,0.3614168266353519,0.2760499808695263,0.5224375098634608,,300
13,0.6,weighted_hybrid,0.2511019187460053,0.19942006523178793,0.36343006081033213,0.09227977257390169,300
23,0.2,cs_only,0.6123633252317383,0.4915705822232476,0.9070281326387911,0.09073752522719562,300
23,0.2,hybrid,0.3535299465319509,0.2792480799037887,0.5227196886222798,0.09308443280003735,300
23,0.2,ml_only,0.38757400471138637,0.3023955135652609,0.5729759721004801,,300
23,0.2,weighted_hybrid,0.3583965044534828,0.28330273467783007,0.5299156456026068,0.09346846730770315,300
23,0.3,cs_only,0.5748921232583942,0.4614594347633162,0.8518049266811695,0.08981056823706313,300
23,0.3,hybrid,0.3346360134652965,0.26544976583406915,0.49487183132959806,0.09261275938776779,300
23,0.3,ml_only,0.38757400471138637,0.3023955135652609,0.5729759721004801,,300
23,0.3,weighted_hybrid,0.34216724318925484,0.27119732484144154,0.5061108117005986,0.09266842348762981,300
23,0.4,cs_only,0.5368284039410607,0.4299803353936046,0.7954704034693322,0.09040138210682884,300
23,0.4,hybrid,0.31101324947476156,0.24665167574508592,0.46002989413480294,0.09232936896361371,300
23,0.4,ml_only,0.38757400471138637,0.3023955135652609,0.5729759721004801,,300
23,0.4,weighted_hybrid,0.3219386643984019,0.25544950483797296,0.4762912040836353,0.09254556211482864,300
23,0.5,cs_only,0.495582942473045,0.39698042345897233,0.7343117316199271,0.09002225054487872,300
23,0.5,hybrid,0.28530474573280995,0.22740999929126693,0.4219757984141584,0.09235944216038344,300
23,0.5,ml_only,0.38757400471138637,0.3023955135652609,0.5729759721004801,,300
23,0.5,weighted_hybrid,0.2985569322830578,0.23779798642180755,0.44175580107337076,0.09245314447321233,300
23,0.6,cs_only,0.44162184828534484,0.3547020907528896,0.654558544557525,0.0901701789178977,300
23,0.6,hybrid,0.2540968259371111,0.202665870326852,0.3759773290651401,0.09158602490017617,300
23,0.6,ml_only,0.38757400471138637,0.3023955135652609,0.5729759721004801,,300
23,0.6,weighted_hybrid,0.26914709605077386,0.21431213246687061,0.3982712943172901,0.09178539784946857,300
29,0.2,cs_only,0.6179748862640031,0.4951367272587447,0.8931167627352433,0.09092660786972068,300
29,0.2,hybrid,0.3385065697401574,0.26412408553360467,0.49017180622891593,0.09307658773484694,300
29,0.2,ml_only,0.3700448349668855,0.2839647429103187,0.5358384975841384,,300
29,0.2,weighted_hybrid,0.34161612656198687,0.2665324135322582,0.49479516476525903,0.0935038542919309,300
29,0.3,cs_only,0.5826497972276699,0.46759962960601353,0.8420095290568204,0.09047046408662227,300
29,0.3,hybrid,0.3219949445702534,0.2529322252544404,0.46611436305920395,0.09388728229039402,300
29,0.3,ml_only,0.3700448349668855,0.2839647429103187,0.5358384975841384,,300
29,0.3,weighted_hybrid,0.3273819659087476,0.25750502663634256,0.4741228943553171,0.09334242047229044,300
29,0.4,cs_only,0.5442114668876998,0.43584476181534776,0.7862063865205201,0.08998578145481773,300
29,0.4,hybrid,0.29890012349572004,0.23629528772634165,0.432993104025129,0.09372035264405529,300
29,0.4,ml_only,0.3700448349668855,0.2839647429103187,0.5358384975841384,,300
29,0.4,weighted_hybrid,0.3061313813081365,0.24195813769527366,0.4436497096857823,0.09353807735314114,300
29,0.5,cs_only,0.4959683034482697,0.39664176616066976,0.7172324026542958,0.0902069472518286,300
29,0.5,hybrid,0.2757912783327637,0.21814202298275304,0.3995365066832869,0.09245086829628658,300
29,0.5,ml_only,0.3700448349668855,0.2839647429103187,0.5358384975841384,,300
29,0.5,weighted_hybrid,0.28562786750745806,0.2260252979485674,0.41398709408750495,0.09289737796770212,300
29,0.6,cs_only,0.4433280892793192,0.35454047822293155,0.6412934754730508,0.09028872944896711,300
29,0.6,hybrid,0.24928326019602745,0.19709525608296216,0.36092895547496545,0.09182986732229562,300
29,0.6,ml_only,0.3700448349668855,0.2839647429103187,0.5358384975841384,,300
29,0.6,weighted_hybrid,0.2624590554873244,0.20733202520958366,0.3803121675988084,0.09227885740722415,300
31,0.2,cs_only,0.6250480338959653,0.5003293926236505,0.9153255457005794,0.08924256633574554,300
31,0.2,hybrid,0.32917147776284095,0.2551928545112157,0.48247334224648775,0.09572642042649017,300
31,0.2,ml_only,0.36059884006840953,0.273615315467344,0.5286224576824661,,300
31,0.2,weighted_hybrid,0.33410223778550624,0.25944059923324514,0.4898040662258737,0.09425415447527863,300
31,0.3,cs_only,0.5943126110520577,0.4762203568354487,0.8700376339180811,0.09088576455949239,300
31,0.3,hybrid,0.3128155314618166,0.2457398390711781,0.4584217266957387,0.09453213914766354,300
31,0.3,ml_only,0.36059884006840953,0.273615315467344,0.5286224576824661,,300
31,0.3,weighted_hybrid,0.31981727700778984,0.25133235815793503,0.46876121165060786,0.09423023201626014,300
31,0.4,cs_only,0.5507581135348135,0.44217150305325437,0.8067010596284827,0.090173780163548,300
31,0.4,hybrid,0.2871691650919701,0.22721462643785026,0.42105771237345846,0.0937173156732779,300
31,0.4,ml_only,0.36059884006840953,0.273615315467344,0.5286224576824661,,300
31,0.4,weighted_hybrid,0.2964740240444891,0.23395522955408515,0.43478283479728635,0.09321829120151591,300
31,0.5,cs_only,0.5032637755351367,0.4034238427686238,0.7370792412794738,0.09023276861164711,300
31,0.5,hybrid,0.259020635892215,0.20472690186462247,0.3797560552072952,0.09277332138913383,300
31,0.5,ml_only,0.36059884006840953,0.273615315467344,0.5286224576824661,,300
31,0.5,weighted_hybrid,0.2710037701601472,0.21416572034945455,0.3972181484878052,0.0929233149095442,300
31,0.6,cs_only,0.4559052613508886,0.3647708058954321,0.6678266528821959,0.09024126772414852,300
31,0.6,hybrid,0.23450407081219624,0.1858344820800763,0.34372495052846624,0.09242757976072354,300
31,0.6,ml_only,0.36059884006840953,0.273615315467344,0.5286224576824661,,300
31,0.6,weighted_hybrid,0.24809764871842835,0.19677447955356,0.3636940999463423,0.092393854675119,300
37,0.2,cs_only,0.6323746045290828,0.5059785113452374,0.9041858789916283,0.09061132250818486,300
37,0.2,hybrid,0.3305305820500463,0.25751051051275214,0.47482152333077227,0.09364105530260415,300
37,0.2,ml_only,0.36226194336964757,0.27787871695725935,0.5203611644246962,,300
37,0.2,weighted_hybrid,0.3346849897718892,0.2609869291037576,0.4809157078839985,0.0941023928053482,300
37,0.3,cs_only,0.5994259825145496,0.4802923913375215,0.8571461071560691,0.09028932026710383,300
37,0.3,hybrid,0.31128884087973857,0.24356377495696027,0.44723098197563926,0.09419404763565131,300
37,0.3,ml_only,0.36226194336964757,0.27787871695725935,0.5203611644246962,,300
37,0.3,weighted_hybrid,0.3178951917150718,0.24888844710160518,0.4569285167358358,0.09438268290455323,300
