step,n_train_approx,measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,lambda_mean,val_rmse_selected_mean,n_seeds,n_test_samples_per_run,rmse_ci95_half
8,104,0.2,ae_regression_ub,0.016326830958828833,0.0004143079305041584,0.00023920079520397264,0.013498030238385833,0.00045297462423064046,0.20893019843195937,0.0054606264216332965,,,,,3,97,0.00046883355859978637
8,104,0.2,ml_only,0.022147904400927898,0.0009016218721175943,0.0005205516305743475,0.017890408456604365,0.0007209985815067392,0.30042274530957314,0.015668956549805435,,,,,3,97,0.001020281195925721
8,104,0.2,mlp_concat_ub,0.15958936466528476,0.008816683987849235,0.0050903148737446195,0.12871154269897472,0.007297654201435171,2.165696856823971,0.17138065190103274,,,,,3,97,0.009977017152539455
8,104,0.2,pca_regression_ub,0.11213130247119311,0.008147685201792933,0.00470406824452748,0.0907691656955496,0.006322633959245861,1.5756701866946592,0.12046137865032994,,,,,3,97,0.009219973759273862
16,52,0.05,ridge_prior_csgm,0.014932685067860399,0.0007329847314336628,0.0004231889320051108,0.011443368480095,0.0005226608344959297,0.19358266378284553,0.012720012081930982,,,0.0023333333333333335,0.01565688317564583,3,49,0.0008294503067300172
16,52,0.05,ae_regression_ub,0.018906646852369067,0.0001859751686138601,0.00010737281366179818,0.015680000450532566,0.00021556784669441158,0.2482968299436508,0.001491683854458627,,,,,3,49,0.00021045071477712442
16,52,0.05,ml_only,0.0242282759150876,0.0014010378417218792,0.0008088895750629793,0.0195993224455565,0.0011177267443415132,0.33065548374811554,0.02222678553647025,,,,,3,49,0.0015854235671234392
16,52,0.05,mlp_concat_ub,0.19312817820070047,0.011861997369978432,0.006848527374683681,0.15536814202089502,0.009401499661128887,2.696854527280595,0.16725049261337455,,,,,3,49,0.013423113654380014
16,52,0.05,pca_regression_ub,0.14435477924057885,0.014536962203807336,0.008392919041567581,0.11612664774621055,0.011927606810358806,2.0219877491125016,0.21885277787236404,,,,,3,49,0.016450121321472458
16,52,0.1,ridge_prior_csgm,0.013913872594051066,0.0013519202271242603,0.0007805315070530918,0.0105787919317401,0.0011849482238918,0.17601250144706548,0.02599661819784877,,,0.003766666666666667,0.0152161460341176,3,49,0.00152984175382406
16,52,0.1,ae_regression_ub,0.01802645375032137,0.0008526971320816599,0.0004923049187445682,0.0148742290696192,0.0007430533103580352,0.23448117910642008,0.011914952507538247,,,,,3,49,0.0009649176407393536
16,52,0.1,ml_only,0.0242282759150876,0.0014010378417218792,0.0008088895750629793,0.0195993224455565,0.0011177267443415132,0.33065548374811554,0.02222678553647025,,,,,3,49,0.0015854235671234392
16,52,0.1,mlp_concat_ub,0.1895307861407388,0.026550639453124063,0.015329018835417877,0.15293648056726974,0.020942352073664558,2.6169011944653966,0.4107696285150983,,,,,3,49,0.030044876917419038
16,52,0.1,pca_regression_ub,0.14794762562797412,0.01132233533077129,0.006536953351076015,0.11916490948420211,0.008910661938461899,2.090700826083475,0.1583540190632034,,,,,3,49,0.01281242856810899
16,52,0.2,ridge_prior_csgm,0.0124719861669384,0.0004407924496386902,0.00025449163945565236,0.009636109379031933,0.0003446759644308456,0.15740330521215706,0.007583125447777762,,,0.001,0.014569774612594634,3,49,0.0004988036133330786
16,52,0.2,ae_regression_ub,0.018076243175282464,0.00045260126922150946,0.0002613094646206048,0.014937503005184335,0.00046586886420179544,0.2341958266922445,0.009059276386485472,,,,,3,49,0.0005121665506563854
16,52,0.2,ml_only,0.0242282759150876,0.0014010378417218792,0.0008088895750629793,0.0195993224455565,0.0011177267443415132,0.33065548374811554,0.02222678553647025,,,,,3,49,0.0015854235671234392
16,52,0.2,mlp_concat_ub,0.21436772366859516,0.024298802794599103,0.014028920334447423,0.1719655419955567,0.019620077402156596,2.9270125054362652,0.3889001788820081,,,,,3,49,0.02749668385551695
