Depth(m),HFU,has_cmr,vp_m3_dry_km_s,vs_m3_dry_km_s,vp_m3_km_s,vs_m3_km_s,vpvs_m3,k_dry_gpa,g_dry_gpa,k_sat_gpa,g_sat_gpa,rho_sat_gcc,phi_input,f_macro_nmr,f_micro_nmr,ar_meso_hfu,ar_micro_hfu,vp_m1_km_s,vp_sonic_km_s,vp_m1_rel_error_pct,vp_m3_rel_error_pct,vp_m1_abs_rel_error_pct,vp_m3_abs_rel_error_pct,status
5224.960000,1,True,5.413752,2.919421,5.366890,2.870950,1.869378,45.594340,21.655527,46.802786,21.655527,2.627347,0.084000,0.777534,0.222466,0.554259,0.512500,5.396066,5.113689,5.521982,4.951435,5.521982,4.951435,ok
5225.150000,1,True,5.413932,2.919525,5.367047,2.871052,1.869366,45.597225,21.657070,46.805158,21.657070,2.627347,0.084000,0.765543,0.234457,0.554259,0.512500,5.396066,5.100946,5.785593,5.216701,5.785593,5.216701,ok
5225.340000,2,True,4.632043,2.685650,4.764447,2.638669,1.805626,29.868397,18.197031,35.064778,18.197031,2.613550,0.088000,0.792455,0.207545,0.553722,0.034000,4.988079,5.099522,-2.185362,-6.570705,2.185362,6.570705,ok
5225.530000,2,True,4.654585,2.689458,4.753940,2.635495,1.803813,29.928647,18.008562,34.583792,18.008562,2.592714,0.100000,0.834438,0.165562,0.553722,0.034000,4.887003,5.081782,-3.832888,-6.451311,3.832888,6.451311,ok
5226.100000,2,True,3.923527,2.401080,4.169220,2.339663,1.781975,18.655588,13.954951,25.706433,13.954951,2.549305,0.125000,0.701986,0.298014,0.553722,0.034000,4.683078,4.775747,-1.940408,-12.700148,1.940408,12.700148,ok
5226.480000,1,True,5.131681,2.815494,5.041268,2.725568,1.849621,37.038363,18.623977,38.882476,18.623977,2.507023,0.153000,0.780376,0.219624,0.554259,0.512500,5.078248,4.546285,11.701048,10.887635,11.701048,10.887635,ok
5227.630000,1,True,5.546368,2.966250,5.517827,2.935901,1.879432,49.990092,23.112414,50.822639,23.112414,2.681406,0.053000,0.496789,0.503211,0.554259,0.512500,5.539525,4.989506,11.023516,10.588637,11.023516,10.588637,ok
5227.820000,1,True,5.477881,2.942515,5.439955,2.902842,1.874010,47.678606,22.359736,48.712466,22.359736,2.653505,0.069000,0.555976,0.444024,0.554259,0.512500,5.465412,5.123282,6.677946,6.181048,6.677946,6.181048,ok
5228.010000,2,True,4.044128,2.460126,4.360289,2.417090,1.803942,20.903186,15.269206,29.330200,15.269206,2.613550,0.088000,0.586529,0.413471,0.553722,0.034000,4.988079,5.046369,-1.155088,-13.595510,1.155088,13.595510,ok
5228.200000,2,True,4.199123,2.522474,4.442740,2.474578,1.795352,22.904447,15.929745,30.106527,15.929745,2.601396,0.095000,0.678146,0.321854,0.553722,0.034000,4.928854,4.932321,-0.070291,-9.925980,0.070291,9.925980,ok
5228.580000,1,True,5.297790,2.877663,5.233638,2.812555,1.860813,41.936087,20.397293,43.431758,20.397293,2.578520,0.112000,0.751569,0.248431,0.554259,0.512500,5.266906,5.008938,5.150154,4.485973,5.150154,4.485973,ok
5228.960000,2,True,4.361804,2.587484,4.572117,2.541671,1.798863,25.449851,16.872555,32.101276,16.872555,2.611814,0.089000,0.707878,0.292122,0.553722,0.034000,4.979572,4.976067,0.070437,-8.117861,0.070437,8.117861,ok
5229.340000,2,True,4.259050,2.537437,4.402311,2.470241,1.782138,23.022011,15.513712,28.586865,15.513712,2.542360,0.129000,0.802357,0.197643,0.553722,0.034000,4.651233,4.837701,-3.854476,-8.999929,3.854476,8.999929,ok
5229.530000,3,True,5.174014,2.820351,5.081080,2.730991,1.860526,37.798963,18.600368,39.585745,18.600368,2.493911,0.151000,0.819086,0.180914,0.614844,0.569000,5.100474,4.489622,13.605867,13.173891,13.605867,13.173891,ok
5229.720000,2,True,3.982188,2.418019,4.133441,2.336007,1.769447,18.711785,13.570271,24.394057,13.570271,2.486797,0.161000,0.803083,0.196917,0.553722,0.034000,4.403600,4.401654,0.044211,-6.093464,0.044211,6.093464,ok
5230.290000,3,True,5.102292,2.794260,4.993464,2.691667,1.855157,35.628579,17.806218,37.540385,17.806218,2.457701,0.172000,0.717142,0.282858,0.614844,0.569000,5.002876,4.286890,16.701758,16.482210,16.701758,16.482210,ok
