Depth(m),HFU,phi_input,alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,kf_gpa,rho_fluid_gcc,sw,k_sat_gpa,g_sat_gpa,rho_sat_gcc,vp_dem_dry_km_s,vs_dem_dry_km_s,vpvs_dem_dry,status,error
5214.290000,2,0.087000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,39.793837,22.369772,53.538237,25.181369,2.525677,5307.676321,2924.631385,1.814819,5.307676,2.924631,5872.913397,3157.554049,1.859957,5.872913,3.157554,0.118600,0.054304,2.200000,1.030000,1.000000,43.849996,22.369772,2.615287,5.250235,2.976062,1.764155,ok,
5214.480000,4,0.091000,0.167804,68.587774,29.797870,2.760313,m3_hier_global_hfu4,0.167804,38.310217,21.694727,52.383464,24.612808,2.509125,5238.591968,2887.035676,1.814523,5.238592,2.887036,5827.201948,3131.983577,1.860547,5.827202,3.131984,0.125689,0.056854,2.200000,1.030000,1.000000,42.503432,21.694727,2.602855,5.176563,2.940465,1.760457,ok,
5214.670000,4,0.095000,0.167804,68.587774,29.797870,2.760313,m3_hier_global_hfu4,0.167804,38.310217,21.694727,51.708494,24.383130,2.498083,5239.950050,2890.881807,1.812578,5.239950,2.890882,5806.339786,3124.217608,1.858494,5.806340,3.124218,0.119189,0.055688,2.200000,1.030000,1.000000,42.350435,21.694727,2.595933,5.187990,2.946956,1.760457,ok,
5214.860000,1,0.087000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,40.380340,22.761932,54.140922,25.599770,2.532506,5339.077263,2946.311228,1.812123,5.339077,2.946311,5903.927938,3179.382678,1.856942,5.903928,3.179383,0.117161,0.053422,2.200000,1.030000,1.000000,44.396127,22.761932,2.622116,5.284761,2.997984,1.762771,ok,
5215.430000,1,0.062000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,46.828200,24.834327,58.508182,27.075856,2.601852,5591.248681,3052.246555,1.831847,5.591249,3.052247,6030.116561,3225.892093,1.869287,6.030117,3.225892,0.087885,0.041881,2.200000,1.030000,1.000000,50.223206,24.834327,2.665712,5.542970,3.089477,1.794145,ok,
5215.620000,1,0.096000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,38.078480,21.962672,52.598313,25.066894,2.507541,5241.431384,2902.821120,1.805634,5.241431,2.902821,5857.034435,3161.740346,1.852472,5.857034,3.161740,0.130041,0.057759,2.200000,1.030000,1.000000,42.321617,21.962672,2.606421,5.183028,2.959501,1.751318,ok,
5216.000000,1,0.141000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,29.313440,18.576659,45.121178,22.390075,2.382719,4825.666575,2710.813526,1.780154,4.825667,2.710814,5609.455238,3065.429597,1.829908,5.609455,3.065430,0.177415,0.072471,2.200000,1.030000,1.000000,34.099618,18.576659,2.527949,4.764214,2.792206,1.706255,ok,
5216.390000,1,0.116000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,33.885110,20.415220,49.226535,23.879805,2.452065,5052.396739,2817.604141,1.793154,5.052397,2.817604,5749.818482,3120.681247,1.842488,5.749818,3.120681,0.151809,0.064981,2.200000,1.030000,1.000000,38.422794,20.415220,2.571545,4.991991,2.885433,1.730066,ok,
5216.770000,1,0.105000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,36.980834,21.569423,51.071406,24.533208,2.482577,5195.138825,2885.416058,1.800482,5.195139,2.885416,5809.314745,3143.589342,1.847988,5.809315,3.143589,0.128915,0.058530,2.200000,1.030000,1.000000,41.163110,21.569423,2.590727,5.145928,2.947596,1.745805,ok,
5216.960000,2,0.108000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,35.368207,20.811093,49.991601,23.957648,2.467583,5115.648859,2840.773775,1.800794,5.115649,2.840774,5762.343786,3115.919124,1.849324,5.762344,3.115919,0.139368,0.061915,2.200000,1.030000,1.000000,39.739330,20.811093,2.578823,5.057489,2.904100,1.741500,ok,
5217.340000,1,0.107000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,35.916897,21.180431,50.734227,24.414499,2.477029,5146.402986,2861.205787,1.798683,5.146403,2.861206,5798.594760,3139.484483,1.846989,5.798595,3.139484,0.139370,0.061227,2.200000,1.030000,1.000000,40.283658,21.180431,2.587239,5.089300,2.924165,1.740429,ok,
5217.530000,1,0.115000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,34.885393,20.795696,49.393280,23.939257,2.454839,5100.703813,2842.774936,1.794269,5.100704,2.842775,5755.282081,3122.797711,1.842989,5.755282,3.122798,0.139583,0.062129,2.200000,1.030000,1.000000,39.222118,20.795696,2.573289,5.050341,2.910551,1.735184,ok,
5217.910000,2,0.141000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,28.830427,18.245390,44.592611,22.025515,2.376294,4795.239102,2689.955168,1.782646,4.795239,2.689955,5578.896179,3044.478880,1.832463,5.578896,3.044479,0.179548,0.073567,2.200000,1.030000,1.000000,33.653533,18.245390,2.521524,4.729690,2.770936,1.706892,ok,
5218.290000,2,0.181000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,22.851526,15.564528,38.335051,19.667560,2.265640,4452.962876,2519.425770,1.767452,4.452963,2.519426,5338.031851,2946.319266,1.811763,5.338032,2.946319,0.216781,0.082443,2.200000,1.030000,1.000000,27.869090,15.564528,2.452070,4.387013,2.621033,1.673772,ok,
5218.480000,3,0.183000,0.168006,68.022153,29.385677,2.754277,m3_hier_joint_vp_vs,0.168006,22.432031,15.181035,37.279658,19.024598,2.250244,4420.065423,2494.987955,1.771578,4.420065,2.494988,5276.319741,2907.655253,1.814630,5.276320,2.907655,0.211622,0.082331,2.200000,1.030000,1.000000,27.404119,15.181035,2.438734,4.354756,2.597382,1.676594,ok,
