depth_m,tdep,dtco_usft,dtsm_usft,vp_sonic_km_s,vs_sonic_km_s,vpvs_sonic_calc,vpvs_sonic_dlis,sphi,itt
5220.004800,2055120.000000,71.079010,124.619804,4.288186,2.445839,1.753257,1.753258,0.132590,0.104568
5220.157200,2055180.000000,72.350403,124.799713,4.212831,2.442313,1.724935,1.724935,0.141243,0.104533
5220.309600,2055240.000000,70.464539,124.702400,4.325580,2.444219,1.769719,1.769719,0.128296,0.104497
5220.462000,2055300.000000,69.785019,121.681847,4.367700,2.504893,1.743667,1.743667,0.123460,0.104461
5220.614400,2055360.000000,67.576645,118.810364,4.510434,2.565433,1.758157,1.758157,0.107070,0.104426
5220.766800,2055420.000000,64.880920,115.046791,4.697837,2.649357,1.773199,1.773199,0.085550,0.104393
5220.919200,2055480.000000,63.437508,110.744331,4.804728,2.752285,1.745723,1.745723,0.073276,0.104360
5221.071600,2055540.000000,60.614098,108.538208,5.028533,2.808228,1.790643,1.790643,0.047577,0.104328
5221.224000,2055600.000000,58.733337,106.047447,5.189557,2.874185,1.805575,1.805575,0.029086,0.104298
5221.376400,2055660.000000,56.664055,100.635155,5.379071,3.028763,1.775996,1.775996,0.007324,0.104269
5221.528800,2055720.000000,54.804993,98.124542,5.561537,3.106257,1.790431,1.790431,-0.013628,0.104240
5221.681200,2055780.000000,54.313301,96.657051,5.611885,3.153417,1.779620,1.779620,-0.019409,0.104213
5221.833600,2055840.000000,54.283310,96.059860,5.614986,3.173021,1.769602,1.769602,-0.019765,0.104186
5221.986000,2055900.000000,54.239494,95.739189,5.619521,3.183649,1.765120,1.765120,-0.020286,0.104159
5222.138400,2055960.000000,54.456978,96.580101,5.597079,3.155930,1.773512,1.773512,-0.017709,0.104132
5222.290800,2056020.000000,54.178818,97.285690,5.625815,3.133040,1.795641,1.795641,-0.021009,0.104104
5222.443200,2056080.000000,55.178669,97.597412,5.523874,3.123034,1.768753,1.768753,-0.009303,0.104077
5222.595600,2056140.000000,55.800816,99.154724,5.462286,3.073984,1.776940,1.776940,-0.002231,0.104050
5222.748000,2056200.000000,57.552803,99.924133,5.296006,3.050314,1.736217,1.736217,0.016863,0.104022
5222.900400,2056260.000000,59.447746,102.252396,5.127192,2.980859,1.720038,1.720038,0.036248,0.103993
5223.052800,2056320.000000,59.808594,103.004539,5.096258,2.959093,1.722236,1.722236,0.039800,0.103963
5223.205200,2056380.000000,59.733536,102.757172,5.102661,2.966216,1.720259,1.720259,0.039064,0.103933
5223.357600,2056440.000000,59.121742,104.287346,5.155464,2.922694,1.763942,1.763942,0.033001,0.103904
5223.510000,2056500.000000,58.230659,103.124718,5.234356,2.955644,1.770969,1.770969,0.023942,0.103874
5223.662400,2056560.000000,57.376797,101.698479,5.312252,2.997095,1.772467,1.772467,0.014997,0.103845
5223.814800,2056620.000000,58.661987,99.982239,5.195869,3.048541,1.704379,1.704379,0.028362,0.103816
5223.967200,2056680.000000,56.782600,99.393440,5.367842,3.066601,1.750421,1.750421,0.008614,0.103787
5224.119600,2056740.000000,58.194336,99.027237,5.237623,3.077941,1.701665,1.701665,0.023567,0.103758
5224.272000,2056800.000000,57.963528,99.131287,5.258479,3.074710,1.710236,1.710236,0.021172,0.103729
5224.424400,2056860.000000,58.416046,99.499672,5.217744,3.063327,1.703294,1.703294,0.025850,0.103700
5224.576800,2056920.000000,58.972221,99.442451,5.168535,3.065089,1.686259,1.686259,0.031500,0.103671
5224.729200,2056980.000000,59.681747,100.667656,5.107089,3.027785,1.686741,1.686741,0.038556,0.103642
5224.881600,2057040.000000,59.239861,101.474899,5.145184,3.003698,1.712950,1.712950,0.034182,0.103612
5225.034000,2057100.000000,59.604721,103.028305,5.113689,2.958410,1.728526,1.728526,0.037798,0.103582
5225.186400,2057160.000000,59.753624,105.039337,5.100946,2.901770,1.757874,1.757874,0.039261,0.103552
5225.338800,2057220.000000,59.770309,106.059525,5.099522,2.873858,1.774452,1.774452,0.039425,0.103523
5225.491200,2057280.000000,59.978962,108.942238,5.081782,2.797813,1.816341,1.816341,0.041462,0.103493
5225.643600,2057340.000000,60.896091,110.466087,5.005247,2.759218,1.814009,1.814009,0.050250,0.103463
5225.796000,2057400.000000,61.668930,111.540367,4.942521,2.732643,1.808696,1.808696,0.057453,0.103432
5225.948400,2057460.000000,62.761971,113.567986,4.856444,2.683855,1.809503,1.809503,0.067337,0.103401
5226.100800,2057520.000000,63.822479,114.111855,4.775747,2.671063,1.787957,1.787957,0.076604,0.103370
5226.253200,2057580.000000,63.904984,114.624046,4.769581,2.659128,1.793664,1.793664,0.077312,0.103338
5226.405600,2057640.000000,67.043755,116.876297,4.546285,2.607885,1.743284,1.743284,0.102953,0.103306
5226.558000,2057700.000000,69.296051,118.268318,4.398519,2.577191,1.706711,1.706711,0.119921,0.103273
