depth_m,tdep,cmrp_3ms,cmff,bfv
5218.681737,2054595.000000,0.118995,0.090416,0.032078
5218.872238,2054670.000000,0.113664,0.086937,0.035597
5219.062738,2054745.000000,0.124737,0.101769,0.037251
5219.253239,2054820.000000,0.155560,0.136620,0.028567
5219.443739,2054895.000000,0.191714,0.174213,0.019659
5219.634239,2054970.000000,0.220329,0.201036,0.027186
5219.824740,2055045.000000,0.228476,0.203747,0.029493
5220.015240,2055120.000000,0.228489,0.203759,0.029495
5220.205740,2055195.000000,0.228590,0.202077,0.032470
5220.396241,2055270.000000,0.177505,0.157932,0.019711
5220.586741,2055345.000000,0.143649,0.121557,0.022101
5220.777242,2055420.000000,0.108707,0.083032,0.025685
5220.967742,2055495.000000,0.094124,0.068568,0.025559
5221.158242,2055570.000000,0.079680,0.050373,0.029311
5221.348743,2055645.000000,0.064388,0.035092,0.029299
5221.539243,2055720.000000,0.060574,0.034493,0.028140
5221.729743,2055795.000000,0.058856,0.038247,0.027193
5221.920244,2055870.000000,0.054580,0.037603,0.024098
5222.110744,2055945.000000,0.056371,0.036949,0.020889
5222.301245,2056020.000000,0.055573,0.033378,0.022280
5222.491745,2056095.000000,0.063053,0.036200,0.032870
5222.682245,2056170.000000,0.072827,0.042758,0.037236
5222.872746,2056245.000000,0.077531,0.047286,0.031258
5223.063246,2056320.000000,0.071430,0.045490,0.025942
5223.253747,2056395.000000,0.061543,0.039717,0.024980
5223.444247,2056470.000000,0.061193,0.040741,0.029642
5223.634747,2056545.000000,0.064081,0.046161,0.029252
5223.825248,2056620.000000,0.070569,0.053564,0.026545
5224.015748,2056695.000000,0.073701,0.056486,0.029100
5224.206248,2056770.000000,0.082819,0.064160,0.025901
5224.396749,2056845.000000,0.091915,0.073760,0.019377
5224.587249,2056920.000000,0.103677,0.081726,0.022111
5224.777750,2056995.000000,0.105697,0.082185,0.023515
5224.968250,2057070.000000,0.105722,0.082204,0.023520
5225.158750,2057145.000000,0.098689,0.075553,0.023139
5225.349251,2057220.000000,0.103500,0.082027,0.021483
5225.539751,2057295.000000,0.116219,0.096980,0.019242
5225.730251,2057370.000000,0.127262,0.102999,0.024266
5225.920752,2057445.000000,0.132741,0.100930,0.031814
5226.111252,2057520.000000,0.133703,0.093859,0.039846
5226.301753,2057595.000000,0.146556,0.110137,0.036422
5226.492253,2057670.000000,0.174646,0.140566,0.039560
5226.682753,2057745.000000,0.205880,0.179730,0.036307
5226.873254,2057820.000000,0.222746,0.199550,0.031481
5227.063754,2057895.000000,0.200972,0.176643,0.024364
5227.254255,2057970.000000,0.147718,0.116298,0.031430
5227.444755,2058045.000000,0.098767,0.060642,0.038218
5227.635255,2058120.000000,0.072428,0.039921,0.040437
5227.825756,2058195.000000,0.081384,0.049131,0.039238
5228.016256,2058270.000000,0.090381,0.054163,0.038182
5228.206756,2058345.000000,0.124643,0.084638,0.040170
5228.397257,2058420.000000,0.155043,0.113410,0.045552
5228.587757,2058495.000000,0.173090,0.135722,0.044863
5228.778258,2058570.000000,0.133910,0.104173,0.043116
5228.968758,2058645.000000,0.120532,0.094094,0.038830
5229.159258,2058720.000000,0.128215,0.104816,0.033264
5229.349759,2058795.000000,0.159572,0.133935,0.032992
5229.540259,2058870.000000,0.176282,0.145645,0.032169
5229.730759,2058945.000000,0.183305,0.148188,0.036336
5229.921260,2059020.000000,0.189118,0.146806,0.042740
5230.111760,2059095.000000,0.178204,0.130614,0.051517
5230.302261,2059170.000000,0.178207,0.130616,0.051518
5230.492761,2059245.000000,0.165479,0.113488,0.062494
5230.683261,2059320.000000,0.153455,0.098336,0.068630
5230.873762,2059395.000000,0.155676,0.090327,0.073990
5231.064262,2059470.000000,0.152054,0.082543,0.075003
5231.254763,2059545.000000,0.159878,0.101492,0.058757
5231.445263,2059620.000000,0.171383,0.133124,0.038261
5231.635763,2059695.000000,0.174658,0.152007,0.022680
5231.826264,2059770.000000,0.156298,0.136187,0.024800
5232.016764,2059845.000000,0.129955,0.105134,0.031120
5232.207264,2059920.000000,0.104145,0.075604,0.033105
5232.397765,2059995.000000,0.093333,0.067254,0.030658
5232.588265,2060070.000000,0.114160,0.089726,0.025359
5232.778766,2060145.000000,0.143191,0.118513,0.024680
5232.969266,2060220.000000,0.144063,0.117533,0.026533
5233.159766,2060295.000000,0.144065,0.117534,0.026533
5233.350267,2060370.000000,0.137461,0.108726,0.028737
5233.540767,2060445.000000,0.156605,0.126081,0.030545
5233.731267,2060520.000000,0.165892,0.138476,0.028232
5233.921768,2060595.000000,0.136865,0.111294,0.029931
